area,density1996,density1986
14338779.25,1.645139158,1.10460937
6331034.073,1.030737281,0.68057704
5163614.614,1.168915963,0.780582404
5078053.978,1.329038858,0.870323956
10334738.7,1.853287637,1.238968372
17911458.13,1.667525172,1.096101046
20877395.95,0.874627292,0.576449454
31999650.03,1.730448306,1.213793218
5504315.918,2.279658508,1.644738388
5993789.929,1.645756602,1.125956178
7737018.316,0.828441918,0.560379483
7351903.25,1.791099429,1.223295212
5103228.814,1.39880991,0.919416368
10487462.93,1.629709244,0.990349054
5347653.803,1.750443637,1.099722028
13971898.97,1.148292959,0.803019494
9430117.39,1.946761012,1.276994705
10413839.21,2.097935915,1.379275441
9852845.275,1.584932725,1.126095732
9104994.203,0.873267353,0.55168885
5778842.335,2.208483815,1.617012024
7012813.42,1.760849237,1.138346076
5832130.693,2.015719891,1.288997531
52876259.23,1.662737489,1.163378358
7530786.725,1.613862634,1.062034845
6841632.034,0.976468861,0.667128295
18885933.88,0.966372669,0.593534384
6841632.034,0.974236906,0.665840507
7800034.496,0.958452657,0.650119275
6587113.757,0.975311995,0.639529407
5055591.596,0.928557654,0.604888697
6599645.312,0.967578855,0.636324909
9142997.11,0.928413689,0.592552572
5900612.063,0.965239286,0.606579304
6655816.409,0.74597466,0.506962359
5732719.681,0.923247278,0.532917738
16457636.94,0.745640665,0.501459926
6214803.939,1.141514659,0.741749465
7842091.864,0.865135014,0.543628633
5085096.236,0.974530995,0.577785969
7923573.29,0.835950226,0.550119609
9142997.11,0.877250111,0.537892962
10310688.05,0.86489898,0.582246602
5997959.304,0.883429253,0.593567777
9364722.793,0.797036469,0.528761476
5083471.422,0.799125731,0.538115442
79343188.9,0.749586821,0.524235725
