"","x","y"
"238",559898.74646023,5380276.68241654
"239",575519.94273586,5371841.20546127
"240",589108.72931015,5371638.26283359
"241",591244.89879418,5375397.48016093
"242",581205.88551244,5366171.53761017
"243",588062.04971239,5378118.30244814
"244",547677.13466882,5392220.68105882
"245",551556.16476015,5393704.67157693
"246",542257.39287201,5395126.58050425
"247",559459.59225989,5391622.22469189
"248",557533.79681509,5402725.49195461
"249",548450.40958915,5398908.02365674
"250",562616.23164992,5396317.12380442
"251",507791.16392153,5364963.73261546
"252",502291.68298511,5362052.91829396
"253",496913.05379773,5367734.08903006
"254",546512.06367759,5365945.10521287
"255",549477.33268425,5364305.04610748
"256",567842.56165776,5319294.99009837
"257",572135.59088905,5361686.26607572
"258",555965.58425417,5363611.67975169
"259",568465.7488626,5362681.53231663
"260",553451.89721085,5363444.74294477
"261",537003.45183111,5393189.35612115
"262",539548.38152788,5387718.27620445
"263",562574.08711417,5384671.89625889
"264",565774.26437475,5376093.83718102
"265",550628.83549396,5384993.92136922
"266",567638.57337019,5372704.78580305
"267",586380.4047398,5367655.84234236
"268",580874.28544326,5375288.59373732
"269",507953.11412642,5254693.40043917
"270",511141.23386443,5254336.74928396
"271",512222.30411996,5253628.63891942
"272",502523.31047745,5269058.05720597
"273",469653.06583565,5275825.09735671
"274",514400.28628912,5264613.47378071
"275",477606.90801605,5271978.18649117
"276",485926.64086,5267861.70757908
"277",507341.27027526,5266803.36646422
"278",507856.13967006,5261737.92920543
"279",504472.42645296,5227895.47161205
"280",511604.26228673,5217150.10936716
"281",512362.77904003,5245968.98508274
"282",506858.99507444,5233631.73234978
"283",488417.45078768,5313047.56104646
"284",508191.31696825,5317497.62124048
"285",513288.34036311,5312165.82866928
"286",490082.38875327,5312338.79588791
"287",494598.91759715,5307959.60082167
"288",474987.62315137,5324440.61511101
"289",482867.15135325,5282079.25639264
"290",474407.7249141,5291560.66302835
"291",508471.49176642,5301290.96617736
"292",474358.49664257,5278727.18026807
"293",516743.6602499,5323315.24963185
"294",503428.10320596,5287467.5325414
"295",478468.45180117,5283456.9076164
"296",482946.11946024,5316133.73434738
"297",513526.55400609,5321339.92073226
"298",447024.6821522,5342631.4385492
"299",461285.42441773,5351618.38788616
"300",465650.48447729,5333658.71060003
"301",447950.04808117,5359112.84451449
"302",439180.35006663,5340842.41998807
"303",455400.24870527,5356104.89832851
"304",450652.88548434,5363894.66355799
"305",462150.5618754,5347677.87694472
"306",438064.63006593,5352731.14705075
"307",432838.10209445,5347625.99775709
"308",444283.06520309,5347646.42084533
"309",442283.89821239,5348573.34970412
"310",451158.31390516,5336678.54290147
"311",455849.70181958,5354127.7052219
"312",433790.12367033,5355580.32746317
"313",450110.66629626,5339166.13253755
"314",422108.71138638,5345590.83366035
"315",446647.83299345,5351426.67045985
"316",445565.30937459,5337960.65749149
"317",446588.3905054,5355129.32628739
"318",443244.69762542,5353862.36757468
"319",463520.52165368,5343040.9638399
"320",448331.87939877,5363109.70443405
"321",452550.17147991,5366659.91975791
"322",482033.16004646,5335419.46509266
"323",487562.95877829,5367574.80765661
"324",490107.11384841,5334290.99134452
"325",488605.6152205,5347663.80606809
"326",491823.89293334,5362087.5188263
"327",500781.53091532,5348053.92600665
"328",504333.60184459,5341909.0217123
"329",510233.44996195,5354367.75433773
"330",478077.64478173,5345396.94446976
"331",484100.56481657,5334662.26613801
"332",486077.46372983,5361460.83575546
"333",489723.76988243,5363033.40721447
"334",482981.91578177,5356512.11407297
"335",507973.51715161,5345636.77557929
"336",512463.63136648,5355068.11190601
"337",516572.47896634,5346840.45789699
"338",482579.94978634,5331791.64142933
"339",506031.19625718,5347544.23714465
"340",510127.30499479,5351658.5392162
"341",520790.99780163,5334001.62122719
"342",474868.66869806,5344933.31950845
"343",477176.36586802,5348645.087691
"344",488286.00088957,5337297.64193564
"345",498629.15049102,5356394.32046898
"346",515162.84573231,5345530.40463372
"347",502784.57630908,5338944.22298648
"348",503483.32908613,5356273.21924747
"349",507229.45773574,5336563.58803151
"350",487877.07375203,5372709.44735099
"351",501118.91417655,5360744.64350467
"352",486889.92717443,5355507.14756466
"353",491665.27233375,5345065.93919666
"354",498548.27990758,5363655.10381896
"355",513068.03374294,5354327.25758021
"356",469396.13394183,5278802.37867769
"357",472243.85393922,5287356.09216003
"358",469733.11452801,5284530.08625492
"359",472093.62175872,5327864.05896402
"360",443256.3314645,5326518.16417018
"361",466876.05909783,5327201.49497242
"362",521604.01071044,5327774.05141686
"363",492883.12506559,5329201.40492897
"364",499042.71258254,5325675.81310356
"365",505985.94521705,5328443.51922945
"366",482600.78562995,5327101.8104242
"367",470894.42388735,5342519.09985999
"368",472765.80963378,5349189.55590343
"369",472186.52852969,5368801.91176799
"370",471843.64816712,5344608.6160491
"371",570479.49747154,5311150.94098357
"372",572018.88932664,5321991.73718901
"373",578451.21283773,5305403.57014306
"374",580861.62767103,5364758.41254923
"375",589134.44526504,5282388.92470526
"376",604954.3098848,5364073.1422885
"377",606852.63975191,5322736.83544937
"378",575931.27283759,5363045.44213506
"379",569967.08360405,5307990.92564161
"380",575989.5347256,5338855.97863237
"381",577681.55693985,5353013.89662237
"382",583671.34601949,5357121.33992408
"383",586034.44981983,5271971.30669972
"384",590038.54734446,5278969.97483931
"385",597046.22191104,5357759.62730658
"386",603506.658795,5354742.5012626
"387",568768.56023097,5275159.86703715
"388",569220.65201307,5275301.10940104
"389",568502.9741204,5305042.82429228
"390",569492.21248109,5344579.17269028
"391",571214.95983781,5349101.92331988
"392",576293.13463384,5355855.28721122
"393",578056.89131198,5334838.40732549
"394",587194.04255891,5282791.86223149
"395",562628.08514005,5298710.959867
"396",572150.66718981,5354652.7078201
"397",571421.63338562,5302692.6880301
"398",573559.88356385,5331902.18890808
"399",581906.31254181,5336353.70455304
"400",590976.43661024,5363161.41269754
"401",567353.67804509,5318154.18323526
"402",569758.89543357,5283562.85857011
"403",569955.00121955,5295114.78116394
"404",574231.51636245,5357975.61501381
"405",575100.60399822,5361866.17085284
"406",577095.3343669,5344957.99743846
"407",583329.55241341,5351703.67992028
"408",590796.48369473,5344354.32066127
"409",593265.37360244,5354342.81590492
"410",557898.77179792,5274824.20418055
"411",572110.67917793,5344095.47393787
"412",573044.90110168,5316619.07300211
"413",572419.15874043,5338846.18813728
"414",582028.91728003,5326453.90347101
"415",572624.83375043,5324334.13699738
"416",574831.55834387,5303027.66532195
"417",575890.49081441,5322079.65825775
"418",583878.95672329,5332363.7424637
"419",575024.87239373,5269028.82112758
"420",572375.50285105,5351550.70051085
"421",578432.69269933,5325182.47829619
"422",581372.08239189,5342685.39486289
"423",581121.58157469,5353964.05713971
"424",594663.62938397,5358298.05525797
"425",607323.33693792,5326422.67859073
"426",606365.13438951,5355733.2406113
"427",527439.58267466,5284926.49271387
"428",522496.45832496,5289389.72226755
"429",525785.87454573,5326112.09496205
"430",558511.10867941,5307098.93956804
"431",558178.8707754,5321885.73657463
"432",528374.87622947,5297359.69529101
"433",515967.81577969,5281652.03778238
"434",511459.20824834,5283045.3987808
"435",523528.1169231,5332460.35785603
"436",563508.88266526,5320520.77812797
"437",558729.5159998,5299491.89766533
"438",563523.05620578,5316322.69913638
"439",518471.22394003,5323987.60513016
"440",505157.80723993,5288534.81810916
"441",552030.07403299,5301517.83887818
"442",558619.62354647,5316433.91307684
"443",524006.84392521,5302308.40436944
"444",543615.94728018,5324361.06852403
"445",549344.83665854,5323908.54658727
"446",524008.36560806,5292953.4821756
"447",530253.13573844,5323824.49442143
"448",523601.87522246,5328906.55421811
"449",568431.63310632,5311655.27342245
"450",533172.22941181,5296432.3149128
"451",515593.87778815,5321134.32984106
"452",552825.24425757,5309322.68472088
"453",553417.60259688,5311246.86453119
"454",565893.28626006,5315959.83001778
"455",554990.16839994,5322704.94343054
"456",526402.66089167,5264265.80804287
"457",510305.38102417,5268928.48898653
"458",527846.50287958,5265218.56555741
"459",517657.92235345,5264155.07297666
"460",516523.88249841,5251806.83549231
"461",513183.50658479,5255549.90883205
"462",515588.94363338,5254459.30612898
"463",515121.52111733,5249826.77598324
"464",518872.48930058,5228712.94683921
"465",522576.52829101,5206145.62160823
"466",514043.02646814,5245257.39844179
"467",517790.5340274,5214008.45471813
"468",526919.18171616,5245211.53147543
"469",515901.31205868,5223664.99408292
"470",518900.01490331,5238812.46405045
"471",532738.74057348,5214759.74247998
"472",517447.33093007,5248545.92543141
"473",559155.02198835,5272630.11612254
"474",561665.09815798,5262748.20969608
"475",562471.67314833,5266676.59087267
"476",572749.54670618,5268375.86116487
"477",565262.09694075,5270555.47576186
